CO_MUNICIPIO;NO_MUNICIPIO;QTD_ESCOLAS;QTD_ESCOLAS_INFO_DESKTOPS;PCT_ESCOLAS_INFO_DESKTOPS;QTD_ESCOLAS_URBANAS;QTD_ESCOLAS_RURAIS;QTD_ESCOLAS_FEDERAIS;QTD_ESCOLAS_ESTADUAIS;QTD_ESCOLAS_MUNICIPAIS;QTD_ESCOLAS_ENSINO_MEDIO;PCT_ESCOLAS_ENSINO_MEDIO;PCT_ESCOLAS_AGUA_POTAVEL;PCT_ESCOLAS_ENERGIA_REDE_PUBLICA;PCT_ESCOLAS_ESGOTO_REDE_PUBLICA;PCT_ESCOLAS_COLETA_LIXO;PCT_ESCOLAS_BIBLIOTECA_LEITURA;PCT_ESCOLAS_LAB_CIENCIAS;PCT_ESCOLAS_LAB_INFORMATICA;PCT_ESCOLAS_QUADRA;PCT_ESCOLAS_REFEITORIO;PCT_ESCOLAS_INTERNET;PCT_ESCOLAS_INTERNET_ALUNOS;PCT_ESCOLAS_INTERNET_APRENDIZAGEM;PCT_ESCOLAS_BANDA_LARGA;PCT_ESCOLAS_BANHEIRO_PNE;PCT_ESCOLAS_SALA_ATENDIMENTO_ESPECIAL;PCT_ESCOLAS_RAMPAS;PCT_ESCOLAS_PISOS_TATEIS;PCT_ESCOLAS_SINALIZACAO_ACESSIVEL;PCT_ESCOLAS_SEM_ACESSIBILIDADE;QTD_ESCOLAS_COM_INTERNET;PCT_ESCOLAS_COM_INTERNET_QUE_TEM_BANDA_LARGA;TOTAL_DESKTOPS_ALUNOS;TOTAL_PORTATEIS_ALUNOS;TOTAL_TABLETS_ALUNOS;TOTAL_SALAS_UTILIZADAS;TOTAL_SALAS_CLIMATIZADAS;TOTAL_SALAS_ACESSIVEIS;PCT_SALAS_CLIMATIZADAS;PCT_SALAS_ACESSIVEIS
2103000;Caxias;221;221;100.0;97;124;1;19;201;20;9.05;95.93;100.0;17.19;49.32;37.56;10.41;26.7;11.31;20.36;82.81;26.7;34.39;78.73;46.61;24.89;70.59;12.67;0.45;3.17;183.0;95.08;645;204;62;1041;532;640;51.1;61.48
2103109;Cedral;16;16;100.0;4;12;0;1;15;1;6.25;100.0;100.0;6.25;56.25;37.5;0.0;6.25;25.0;12.5;100.0;6.25;31.25;62.5;56.25;18.75;43.75;6.25;0.0;12.5;16.0;62.5;17;4;0;107;37;18;34.58;16.82
2103125;Central do Maranhão;25;25;100.0;10;15;0;1;24;1;4.0;100.0;100.0;0.0;44.0;28.0;0.0;0.0;8.0;4.0;96.0;8.0;56.0;76.0;60.0;12.0;76.0;12.0;0.0;20.0;24.0;79.17;1;4;0;92;26;38;28.26;41.3
2103158;Centro do Guilherme;32;32;100.0;7;25;0;2;30;2;6.25;31.25;96.88;0.0;21.88;31.25;9.38;18.75;6.25;25.0;87.5;62.5;81.25;43.75;21.88;12.5;21.88;0.0;0.0;75.0;28.0;50.0;19;38;0;203;118;25;58.13;12.32
2103174;Centro Novo do Maranhão;47;47;100.0;9;38;0;7;40;5;10.64;87.23;87.23;0.0;38.3;27.66;0.0;6.38;12.77;0.0;80.85;10.64;17.02;65.96;27.66;21.28;55.32;2.13;0.0;42.55;38.0;81.58;18;18;1;215;91;22;42.33;10.23
2103208;Chapadinha;130;130;100.0;39;91;0;5;125;5;3.85;96.15;100.0;2.31;30.0;19.23;2.31;3.08;9.23;16.15;63.85;8.46;36.92;56.15;37.69;13.85;41.54;1.54;1.54;22.31;83.0;87.95;45;22;1;564;402;105;71.28;18.62
2103257;Cidelândia;21;21;100.0;6;15;0;2;19;2;9.52;100.0;100.0;0.0;80.95;38.1;4.76;0.0;28.57;9.52;100.0;28.57;19.05;85.71;47.62;9.52;57.14;4.76;0.0;38.1;21.0;85.71;15;7;1;146;102;51;69.86;34.93
2103307;Codó;159;158;99.37;68;91;1;10;148;10;6.29;91.82;100.0;30.19;49.06;27.67;3.77;9.43;11.95;22.64;81.13;6.29;42.14;66.67;30.19;16.35;42.77;4.4;0.0;49.06;129.0;82.17;295;64;15;810;313;160;38.64;19.75
2103406;Coelho Neto;46;46;100.0;25;21;1;5;40;9;19.57;91.3;100.0;8.7;56.52;34.78;6.52;13.04;17.39;13.04;97.83;30.43;71.74;82.61;45.65;26.09;65.22;10.87;2.17;30.43;45.0;84.44;170;49;262;300;125;84;41.67;28.0
2103505;Colinas;63;63;100.0;25;38;0;5;58;5;7.94;98.41;100.0;3.17;41.27;42.86;3.17;15.87;11.11;9.52;98.41;20.63;80.95;95.24;42.86;15.87;55.56;15.87;0.0;39.68;62.0;96.77;126;39;3;325;111;59;34.15;18.15
